YEAR,MONTH,LATITUDE,LONGITUDE,LOCATION_NAME,COUNTRY,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY,DAMAGE_TOTAL_DESCRIPTION,DEATHS_TOTAL_DESCRIPTION
1687,7,-32.8,-70.7,CENTRAL CHILE,CHILE,Very Doubtful Tsunami,7.5,,,Limited (<$1 million),Few (~1 to 50 people)
1681,6,37.5,129.5,SEA OF JAPAN,SOUTH KOREA,Very Doubtful Tsunami,,,,,
1675,3,13,121,SULU SEA,PHILIPPINES,Questionable Tsunami,,,1,Limited (<$1 million),
1674,5,-3.7,128.2,BANDA SEA,INDONESIA,Probable Tsunami,6,,0,,
1673,8,1.375,127.52,N. MOLUCCAS ISLANDS,INDONESIA,Probable Tsunami,,,1,Limited (<$1 million),Many (~101 to 1000 people)
1672,4,40,26,ISLAND OF TENEDOS,GREECE,Very Doubtful Tsunami,6.5,,,,
1670,12,35.5,141,"BOSO, JAPAN",JAPAN,Definite Tsunami,6.4,,1,Limited (<$1 million),
1661,1,23,120.1,SOUTH CHINA SEA,TAIWAN,Questionable Tsunami,6,,1.5,Limited (<$1 million),Many (~101 to 1000 people)
1657,12,-3,128,BANDA SEA,INDONESIA,Questionable Tsunami,,,1,,
1649,12,35.5,126,YELLOW SEA,SOUTH KOREA,Definite Tsunami,6.5,,1,Moderate (~$1 to $5 million),
1646,4,41.04,28.98,MARMARA SEA,TURKEY,Very Doubtful Tsunami,,,4,,
1643,7,35.5,129.5,SEA OF JAPAN,SOUTH KOREA,Definite Tsunami,6.5,,1,Limited (<$1 million),
1640,9,23,117,SOUTH CHINA SEA,CHINA,Definite Tsunami,,,2,,
1629,8,-4.6,129.9,BANDA SEA,INDONESIA,Probable Tsunami,,,3,Moderate (~$1 to $5 million),
1627,9,18.4,121.6,W. LUZON ISLAND,PHILIPPINES,Probable Tsunami,8,,3.5,Severe (~>$5 to $24 million),
1619,5,32.5,130.6,"YATSUSHIRO, JAPAN",JAPAN,Definite Tsunami,6.4,,,Limited (<$1 million),
1539,11,16.2,-88.5,CABO DE HIGUERAS,HONDURAS,Questionable Tsunami,,,,Limited (<$1 million),
1520,4,33.6,136.3,"KII, KUMANANONADA",JAPAN,Definite Tsunami,7,,1,Limited (<$1 million),
1510,9,34.6,135.4,OSAKA BAY,JAPAN,Definite Tsunami,6.7,,1,Limited (<$1 million),
1448,9,37.5,138.2,"SADO, JAPAN",JAPAN,Probable Tsunami,7,,2,Moderate (~$1 to $5 million),
1433,11,34.9,139.5,OFF IZU-OSHIMA,JAPAN,Definite Tsunami,7.1,,1,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
1408,1,33.8,136.9,KUMANONADA,JAPAN,Definite Tsunami,7,,1,,
1403,12,33.7,136.5,KUMANONADA,JAPAN,Definite Tsunami,7,,1,,
1331,8,33.7,135.2,"OFF TANABE, WAKAYAMA PREFECTURE",JAPAN,Definite Tsunami,7,,,,
1257,10,35.2,139.5,"SAGAMI BAY, JAPAN",JAPAN,Definite Tsunami,7,,1,Limited (<$1 million),
1257,10,39,144,OFF SANRIKU,JAPAN,Definite Tsunami,7.5,,2,,
1241,5,35.2,139.4,"KAMAKURA, SAGAMI BAY",JAPAN,Definite Tsunami,7,,1,Limited (<$1 million),
1222,5,34.5,33,CYPRUS ISLAND,CYPRUS,Probable Tsunami,6.6,,4,,
1769,8,32.3,132,SW. KYUSHU ISLAND,JAPAN,Definite Tsunami,7.4,,1,Moderate (~$1 to $5 million),
1768,7,26.2,127.5,RYUKYU ISLANDS,JAPAN,Definite Tsunami,6.5,,1,Limited (<$1 million),
1768,6,-4.85,152.8,"CAPE SAINT GEORGE, NEW IRELAND",PAPUA NEW GUINEA,Probable Tsunami,7.5,,1,,
1767,11,22.2,113.55,SOUTH CHINA SEA,CHINA,Questionable Tsunami,,,2,,
1767,4,14.4,-61,MARTINIQUE & BARBADOS,MARTINIQUE (FRENCH TERRITORY),Probable Tsunami,,,,,
1763,3,41,142.5,N. SANRIKU,JAPAN,Definite Tsunami,7.8,,1,Moderate (~$1 to $5 million),
1762,10,38.1,138.7,NW. HONSHU ISLAND,JAPAN,Definite Tsunami,6.6,,1,Limited (<$1 million),Some (~51 to 100 people)
1754,9,-3.5,128.5,BANDA SEA,INDONESIA,Questionable Tsunami,,,0,,
1754,8,-3.5,128.5,BANDA SEA,INDONESIA,Probable Tsunami,6.5,,0,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1750,,18.8,93.633,MYANMAR (BURMA) COAST,MYANMAR (BURMA),Very Doubtful Tsunami,,,4,,
1088,6,40.5,143,"MIYAKO, IWATE PREFECTURE",JAPAN,Definite Tsunami,7,,1.5,,
922,,33.8,136.7,KUMANONADA,JAPAN,Definite Tsunami,7,,1,,
850,11,39,139.9,NW. HONSHU ISLAND,JAPAN,Definite Tsunami,7,,1,Moderate (~$1 to $5 million),Many (~101 to 1000 people)
803,12,36.95,35.6,GULF OF ISKENDERUN,TURKEY,Questionable Tsunami,,,3,Limited (<$1 million),
704,8,33.8,136.7,KUMANONADA,JAPAN,Definite Tsunami,7,,2,,
701,5,35.7,135.4,SEA OF JAPAN,JAPAN,Definite Tsunami,7,,1,Severe (~>$5 to $24 million),
447,1,40.9,28.5,MARMARA SEA,TURKEY,Very Doubtful Tsunami,7.3,,4,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
173,6,37.5,120,"LAIZHOU BAY, BOHAI SEA",CHINA,Questionable Tsunami,,,1,,
142,,36.7,28,DODECANESE ISLANDS,GREECE,Probable Tsunami,7,,4,Severe (~>$5 to $24 million),
62,,35.2,25.1,CRETE,GREECE,Questionable Tsunami,6.9,,3,,
1755,11,42.7,-70.3,MASSACHUSETTS: EAST OF CAPE ANN,USA,Very Doubtful Tsunami,,,,,
1766,10,10.47,-64.17,CUMANA,VENEZUELA,Very Doubtful Tsunami,7.5,,,Severe (~>$5 to $24 million),
1763,1,40.8,142,SANRIKU,JAPAN,Probable Tsunami,7.4,,2,Moderate (~$1 to $5 million),
1759,10,33,35.5,AKKO,ISRAEL,Questionable Tsunami,,,4,Moderate (~$1 to $5 million),
1757,7,38.65,-28.08,AZORES,PORTUGAL,Probable Tsunami,,,,Severe (~>$5 to $24 million),Very Many (~1001 or more people)
1754,9,16.8,-99.2,S. MEXICO,MEXICO,Probable Tsunami,,,2,Severe (~>$5 to $24 million),
1751,10,18.5,-70.7,AZUA  DE COMPOSTELA,DOMINICAN REPUBLIC,Probable Tsunami,7.3,,,Moderate (~$1 to $5 million),
1749,8,14.002,120.993,"TAAL, LUZON ISLAND",PHILIPPINES,Definite Tsunami,,,,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1742,11,51.5,157,N. KURIL ISLANDS,RUSSIA,Probable Tsunami,7,,1.5,,
1737,12,-43,-74,SOUTHERN CHILE,CHILE,Very Doubtful Tsunami,8,,,Moderate (~$1 to $5 million),Some (~51 to 100 people)
1723,2,38.5,20.5,IONIAN SEA,GREECE,Very Doubtful Tsunami,7,,3,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1722,12,37.2,-7.6,"TAVIRA, ALGARVE",PORTUGAL,Very Doubtful Tsunami,,,,Moderate (~$1 to $5 million),Many (~101 to 1000 people)
1716,9,14.002,120.993,"TAAL, LUZON ISLAND",PHILIPPINES,Definite Tsunami,,,,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1705,11,-18.6,-70.2,NORTHERN CHILE,CHILE,Very Doubtful Tsunami,,,3,Moderate (~$1 to $5 million),
1690,4,17.5,-61.5,ANTIGUA; SAINT KITTS AND NEVIS,ANTIGUA AND BARBUDA,Definite Tsunami,8,,,Severe (~>$5 to $24 million),
1688,7,38.4,26.9,IZMIR,TURKEY,Questionable Tsunami,7,,2,Severe (~>$5 to $24 million),Very Many (~1001 or more people)
1681,3,-18.5,-70.35,NORTHERN CHILE,CHILE,Very Doubtful Tsunami,7.5,,,,
1678,6,-9,-79,CENTRAL PERU,PERU,Probable Tsunami,8.4,40,2.5,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
1677,12,14.5,120.5,W. LUZON ISLAND,PHILIPPINES,Questionable Tsunami,,,1,Limited (<$1 million),Few (~1 to 50 people)
1672,,36.5,25.5,THIRA ISLAND &  CYCLADE ISLANDS,GREECE,Very Doubtful Tsunami,,,1,,
1668,7,35.3,118.6,"TANCHENG, SHANDONG PROVINCE",CHINA,Probable Tsunami,8.5,,,Extreme (~$25 million or more),Very Many (~1001 or more people)
1668,7,38.4,27.1,"SMYRNA, W. TURKEY",TURKEY,Probable Tsunami,6.6,,2,,
1667,4,42.6,18.1,DALMATIAN COASTS,CROATIA,Questionable Tsunami,7.2,,4,Extreme (~$25 million or more),Very Many (~1001 or more people)
1645,11,14.4,121,W. LUZON ISLAND,PHILIPPINES,Very Doubtful Tsunami,8,,,Extreme (~$25 million or more),Many (~101 to 1000 people)
1633,11,37.6,21,ISLAND OF ZAKYNTHOS,GREECE,Definite Tsunami,6.9,,3,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
1633,3,35.2,139.2,SAGAMI BAY,JAPAN,Definite Tsunami,7.1,,1,Moderate (~$1 to $5 million),Many (~101 to 1000 people)
1622,5,37.6,21,ISLAND OF ZAKYNTHOS,GREECE,Questionable Tsunami,6.6,,,,
1615,9,-18.5,-70.35,NORTHERN CHILE,CHILE,Questionable Tsunami,7.5,,1.5,Moderate (~$1 to $5 million),
1604,,35.5,25.5,CRETE,GREECE,Very Doubtful Tsunami,,,,,
1591,7,37.783,-25.5,AZORES,PORTUGAL,Very Doubtful Tsunami,,,,Limited (<$1 million),
1590,,-17.2,-72.9,S. PERU,PERU,Questionable Tsunami,7.7,,1.5,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1586,7,-12.3,-77.7,CENTRAL PERU,PERU,Definite Tsunami,8.5,60,3.5,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1580,4,51.019,1.309,"DOVER STRAITS, ENGLAND",UK,Event that only caused a seiche or disturbance in an inland river,6.2,33,,,
1543,9,10.7,-64.1,CUMANA,VENEZUELA,Very Doubtful Tsunami,,,,Severe (~>$5 to $24 million),
1531,1,38.7,-9.1,"TAGUS RIVER, LISBON",PORTUGAL,Definite Tsunami,7.7,,,Severe (~>$5 to $24 million),Very Many (~1001 or more people)
1511,3,46.2,13.433,NORTH ADRIATIC,ITALY,Questionable Tsunami,6.5,10,3,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1509,9,40.8,28.1,MARMARA SEA,TURKEY,Probable Tsunami,7.7,,3,Extreme (~$25 million or more),Very Many (~1001 or more people)
1508,5,35,25.5,ISLAND OF CRETE,GREECE,Questionable Tsunami,7.1,,3,,
1389,3,38.4,26.3,"CHIOS ISLAND, AEGEAN ISLANDS",GREECE,Questionable Tsunami,6.8,,3,,
1202,5,33.5,36,SOUTHWESTERN SYRIA,SYRIA,Definite Tsunami,7.6,,5,Extreme (~$25 million or more),Very Many (~1001 or more people)
1096,12,34,137.5,ENSHUNADA,JAPAN,Definite Tsunami,8.4,,2,Moderate (~$1 to $5 million),
746,1,32,35.5,SYRIAN and EGYPTIAN COASTS,SYRIA,Questionable Tsunami,7,,3,Severe (~>$5 to $24 million),
740,10,40.7,29.3,MARMARA SEA,TURKEY,Questionable Tsunami,7.3,,3,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
558,12,40.9,28.8,"MARMARA SEA, STRAIT OF BOSPORUS",TURKEY,Questionable Tsunami,7,,,,
551,7,40.8,29.9,LEVANTIAN SEA,TURKEY,Definite Tsunami,7.8,,3,Extreme (~$25 million or more),Very Many (~1001 or more people)
362,5,31.3,35.6,DEAD SEA,JORDAN,Questionable Tsunami,,,3,Severe (~>$5 to $24 million),
348,,33.9,35.5,LEVANTIAN SEA,TURKEY,Very Doubtful Tsunami,4.1,,3,,
76,6,34.8,32,LEVANTIAN SEA,CYPRUS,Very Doubtful Tsunami,6.3,,4,Severe (~>$5 to $24 million),
1530,9,10.7,-64.1,CUMANA,VENEZUELA,Definite Tsunami,,,,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1664,,27.85,128.25,"TORISHIMA, RYUKYU ISLANDS",JAPAN,Definite Tsunami,,,1,Limited (<$1 million),Few (~1 to 50 people)
1076,10,23,117,"GUANGDONG PROVINCE, SOUTH CHINA SEA",CHINA,Very Doubtful Tsunami,,,1,Limited (<$1 million),Few (~1 to 50 people)
1608,7,0.8,127.325,"GAMALAMA, TERNATE ISLAND",INDONESIA,Probable Tsunami,,,1.5,Limited (<$1 million),Few (~1 to 50 people)
1700,1,45,-125,CASCADIA SUBDUCTION ZONE,USA,Definite Tsunami,9,,,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1763,9,-6,130,BANDA SEA,INDONESIA,Probable Tsunami,,,2.5,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1711,9,-4,129,BANDA SEA,INDONESIA,Definite Tsunami,7,,1.5,Limited (<$1 million),Few (~1 to 50 people)
1737,10,51.1,158,KAMCHATKA,RUSSIA,Definite Tsunami,,,4,Limited (<$1 million),Few (~1 to 50 people)
1668,7,38,126,YELLOW SEA,NORTH KOREA,Questionable Tsunami,6.4,,1.5,Limited (<$1 million),Few (~1 to 50 people)
1647,5,-15.5,-75,S. PERU,PERU,Questionable Tsunami,,,2,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1633,5,-41.8,-73.8,SOUTHERN CHILE,CHILE,Probable Tsunami,,,1.5,Moderate (~$1 to $5 million),Few (~1 to 50 people)
1597,9,33.3,131.6,"BEPPU BAY, JAPAN",JAPAN,Probable Tsunami,6.4,,1,,Few (~1 to 50 people)
1730,7,-32.5,-71.5,CENTRAL CHILE,CHILE,Definite Tsunami,9.1,,3.5,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1677,4,40,144,SANRIKU,JAPAN,Definite Tsunami,8.1,,2,Limited (<$1 million),Few (~1 to 50 people)
1657,3,-36.83,-73.03,CENTRAL CHILE,CHILE,Probable Tsunami,8,,2.5,Severe (~>$5 to $24 million),Few (~1 to 50 people)
1604,11,-17.88,-70.94,S. PERU,PERU,Definite Tsunami,8.5,30,3.5,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
1033,12,33,35,AKKO,SYRIA,Definite Tsunami,,,4,Severe (~>$5 to $24 million),Very Many (~1001 or more people)
1666,5,35,136.8,AICHI PREFECTURE,JAPAN,Probable Tsunami,6.4,,1,Limited (<$1 million),Some (~51 to 100 people)
1751,5,-37,-73,CENTRAL CHILE,CHILE,Definite Tsunami,8.5,,3.5,Severe (~>$5 to $24 million),Some (~51 to 100 people)
-2000,,35.683,35.8,SYRIAN COASTS,SYRIA,Very Doubtful Tsunami,,,6,Extreme (~$25 million or more),Many (~101 to 1000 people)
416,,-6.102,105.423,JAVA-S. JAVA,INDONESIA,Questionable Tsunami,,,3.5,Extreme (~$25 million or more),Many (~101 to 1000 people)
262,,36.6,30,SOUTH COASTS OF ASIA MINOR,TURKEY,Very Doubtful Tsunami,,,4,Moderate (~$1 to $5 million),Many (~101 to 1000 people)
766,7,31.6,130.7,N. KAGOSHIMA BAY,JAPAN,Definite Tsunami,6.5,,1.5,,Many (~101 to 1000 people)
1589,3,34.8,138.2,"SURUGA, JAPAN",JAPAN,Definite Tsunami,6.7,,1,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
1670,8,33,122.5,EAST CHINA SEA,CHINA,Definite Tsunami,6.8,,1.5,,Many (~101 to 1000 people)
1735,12,15.8,121.7,E. LUZON ISLAND,PHILIPPINES,Questionable Tsunami,,,1.5,Moderate (~$1 to $5 million),Many (~101 to 1000 people)
1360,11,33.4,136.2,KUMANONADA,JAPAN,Definite Tsunami,7,,2,,Many (~101 to 1000 people)
1726,4,36.3,136,KATSUYAMA,JAPAN,Definite Tsunami,6.6,,1,Moderate (~$1 to $5 million),Many (~101 to 1000 people)
1662,10,31.7,132,HIUGANADA,JAPAN,Definite Tsunami,7.6,,2.5,Moderate (~$1 to $5 million),Many (~101 to 1000 people)
1644,10,39.4,140.1,"HONJO, AKITA",JAPAN,Definite Tsunami,6.9,,1,Moderate (~$1 to $5 million),Many (~101 to 1000 people)
1616,12,39,144.5,SANRIKU,JAPAN,Questionable Tsunami,7.5,,1,,Many (~101 to 1000 people)
1602,2,35.1,140.5,"BOSO, JAPAN",JAPAN,Definite Tsunami,7.2,,1,,Many (~101 to 1000 people)
1586,1,35,136.8,ISE BAY,JAPAN,Definite Tsunami,8.2,,1,,Very Many (~1001 or more people)
1498,8,9.9,-62.3,BOCA DE LA SIERPE,VENEZUELA,Questionable Tsunami,,,,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
1303,8,35,27,AEGEAN SEA,GREECE,Probable Tsunami,8,,4,Severe (~>$5 to $24 million),Very Many (~1001 or more people)
818,8,35.2,139.3,TOKAIDO,JAPAN,Definite Tsunami,7.9,,1,,Many (~101 to 1000 people)
745,6,34.6,135.3,"OSAKA BAY, JAPAN",JAPAN,Probable Tsunami,6.5,,1,,Many (~101 to 1000 people)
554,8,36.8,27.3,ISLAND OF KOS,GREECE,Probable Tsunami,7,,4,Moderate (~$1 to $5 million),Many (~101 to 1000 people)
543,,40.3,27.8,BLACK SEA,TURKEY,Probable Tsunami,6.8,,4,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
-426,6,38.9,22.7,CORINTHOS-PATRAS GULF,GREECE,Definite Tsunami,7.1,,5,Severe (~>$5 to $24 million),Very Many (~1001 or more people)
-1610,,36.4,25.4,THERA ISLAND (SANTORINI),GREECE,Definite Tsunami,,,6,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
1763,3,40.7,142,"SANRIKU, HACHIONHE",JAPAN,Definite Tsunami,7.1,,1,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
1762,4,22,92,NORTHERN BAY OF BENGAL,BANGLADESH,Definite Tsunami,,,,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
1748,5,38.3,22.1,CORINTHOS-PATRAS GULF,GREECE,Definite Tsunami,6.8,,3,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
1677,11,35,141.5,OFF SE. BOSO PENINSULA,JAPAN,Definite Tsunami,7.4,,3,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
1640,7,42.07,140.68,SE. HOKKAIDO ISLAND,JAPAN,Definite Tsunami,6.5,,1,Limited (<$1 million),Many (~101 to 1000 people)
1616,9,38.1,142,MIYAGI PREFECTURE,JAPAN,Definite Tsunami,7,,1,Moderate (~$1 to $5 million),Many (~101 to 1000 people)
1614,11,37.5,138,NIIGATA PREFECTURE,JAPAN,Definite Tsunami,7.7,,1,Moderate (~$1 to $5 million),Many (~101 to 1000 people)
1596,9,33.3,131.7,"BEPPU BAY, KYUSHU",JAPAN,Definite Tsunami,6.9,,2,Severe (~>$5 to $24 million),Many (~101 to 1000 people)
