Year,Entity,Number of people affected from drought,Number of people left homeless from drought,Reconstruction costs from drought,Insured damages against drought,Total economic damages from drought,Number of people left homeless from earthquakes,Number of total people affected by earthquakes,Reconstruction costs from earthquakes,Insured damages against earthquakes,Total economic damages from earthquakes,Number of people affected by volcanic activity,Number of people left homeless from volcanic activity,Number of total people affected by volcanic activity,Reconstruction costs from volcanic activity,Insured damages against volcanic activity,Total economic damages from volcanic activity,Number of people left homeless from floods,Number of total people affected by floods,Reconstruction costs from floods,Insured damages against floods,Total economic damages from floods,"Number of people affected by mass movements per 100,000",Number of people left homeless from storms,Number of total people affected by storms,Reconstruction costs from storms,Insured damages against storms,Total economic damages from storms,Number of people left homeless from landslides,Number of total people affected by landslides,Reconstruction costs from landslides,Insured damages against landslides,Total economic damages from landslides,Number of people left homeless from wildfires,Number of total people affected by wildfires,Reconstruction costs from wildfires,Insured damages against wildfires,Total economic damages from wildfires,Total economic damages from disasters as a share of GDP,Total economic damages from drought as a share of GDP,Total economic damages from earthquakes as a share of GDP,Total economic damages from extreme temperatures as a share of GDP,Total economic damages from floods as a share of GDP,Total economic damages from landslides as a share of GDP,Total economic damages from storms as a share of GDP,Total economic damages from volcanic activity as a share of GDP
1950,Afghanistan,0,0,,,,0,200,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Afghanistan,4800,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001419558,0.001419558,0,0,0,0,0,0
1970,Afghanistan,0,0,0,0,0,0,9001.5,0,0,0,0,0,0,0,0,0,750,60168.4,0,0,5200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157575752,0,0,0,0.157575752,0,0,0
1980,Afghanistan,0,0,0,0,0,658,7253.8,0,0,900,0,0,0,0,0,0,0,19100,0,0,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Afghanistan,0,0,0,0,0,7702.5,35229.3,0,0,2001,0,0,0,0,0,0,1765,18230.5,0,20,6400,0,0,0,0,0,0,111,117.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Afghanistan,476000,0,0,0,5,1569.5,10794.7,0,0,5,0,0,0,0,0,0,2340,15904.2,0,0,2000,0,0,2265.6,0,0,500,0,30043.2,0,0,0,0,0,0,0,0,0.024211525,0,0.0000805,0,0.01607835,0,0.008052648,0
2010,Afghanistan,1525000,0,0,0,14200,3627.5,9797,0,0,0,0,0,0,0,0,0,3422,41596.6,0,0,300,0,0,906,0,0,0,741,3792.4,0,0,300,0,0,0,0,0,0.082727539,0.079756046,0,0,0.001464494,0.001506999,0,0
1900,Africa,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1910,Africa,3200,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1920,Africa,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1930,Africa,0,0,,,,750,763,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1940,Africa,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Africa,0,0,,,,12925,13427.8,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Africa,963348.3,0,0,0,19570,1940.5,9293.6,0,0,15302,0,0,0,0,0,0,2580,86904.1,0,0,41842,0,1650,14157.9,0,0,1330,33.6,143.6,0,0,0,0,0,0,0,0,0.150796798,0.030305845,0.044271497,0,0.07392516,0,0.002294295,0
1970,Africa,1951200,0,0,0,40720,0,0,0,0,0,2100,6500,8600,0,0,0,19063.2,459952.6,0,0,25145,0,4885,417366.4,0,0,79842,0,0,0,0,0,800,1220,0,0,0,0.08297887,0.025462203,0,0,0.015677893,0,0.041838774,0
1980,Africa,8256606.7,0,0,0,7275.4,49320,101944.6,0,0,523000,1000,0,1043.7,0,0,0,176312.7,734705.2,0,30100,88231.1,0.003968018,12510,212239.4,0,0,142221.1,371.6,1386.4,0,0,0,0,150,0,0,0,0.208162796,0.001605678,0.149832672,0,0.020853581,0,0.035870865,0
1990,Africa,8618424.6,0,0,0,224493.9,4027,18131,0,0,133092.9,380,571,951.6,0,0,0,214126.5,1435826.9,0,0,75523.2,0.004399682,80563.9,437391.6,1400,11780,79931.5,316.9,322.5,0,0,0,330,459,0,0,0,0.097448103,0.040504472,0.026343433,0.000921609,0.014508573,0,0.015170016,0
2000,Africa,11948903.3,0,0,0,0,23910.4,38675,0,1000,565700,29500,11000,40540,0,0,900,145591.4,2333188.3,13363.2,5150,306486,0,67732.5,445470.9,0,0,71847.2,1071.5,1611.3,0,0,0,750.2,1055.5,0,800,44000,0.116463899,0,0.071912522,0.0000125,0.035004818,0,0.006820593,0.000140596
2010,Africa,12552199.8,0,0,0,365300,69,15300.3,0,0,45800,250,0,250,0,0,0,75926.1,3219192.2,39310,14700,396271.5,0,23717.1,777003.7,0,48400,378990,1584.8,21255.8,0,0,5803.6,1328.6,7230.1,0,20000,42000,0.053185456,0.015795952,0.002084165,0,0.017316995,0.000254132,0.01584802,0
1900,Albania,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1910,Albania,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1920,Albania,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1930,Albania,0,0,,,,0,304.8,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1940,Albania,0,0,,,,0,11,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Albania,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Albania,0,0,0,0,0,0,28.8,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Albania,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Albania,320000,0,0,0,0,500,569.5,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Albania,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,4650,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107333156,0,0,0,0.107333156,0,0,0
2000,Albania,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,7648.4,0,0,1767.3,0,0,52500,0,0,0,0,0,0,0,0,7.5,7.5,0,0,0,0.040488531,0,0,0,0.040488531,0,0,0
2010,Albania,0,0,0,0,0,0,20782.5,0,0,74500,0,0,0,0,0,0,0,8260.2,0,0,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494190336,0,0.487354537,0,0.006835798,0,0,0
1910,Algeria,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1920,Algeria,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1930,Algeria,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1940,Algeria,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Algeria,0,0,,,,12925,13425,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Algeria,0,0,0,0,0,1345,5081.5,0,0,200,0,0,0,0,0,0,1590,31154.9,0,0,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071662916,0,0.006377025,0,0.065285892,0,0,0
1970,Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6100,19600,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034193911,0,0,0,0.034193911,0,0,0
1980,Algeria,0,0,0,0,0,44320,94591,0,0,520200,0,0,0,0,0,0,1647,2503.4,0,0,0,0,0,1010.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.228290406,0,1.228290406,0,0,0,0,0
1990,Algeria,0,0,0,0,0,1500,3021.4,0,0,6092.9,0,0,0,0,0,0,3595,3727.7,0,0,90,0,0,0,0,0,0,65,69.6,0,0,0,0,0,0,0,0,0.012713841,0,0.012526353,0,0.000187488,0,0,0
2000,Algeria,0,0,0,0,0,20015,21109.5,0,0,500000,0,0,0,0,0,0,435,20027.1,0,0,70101.7,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816180104,0,0.736769376,0,0.079410729,0,0,0
2010,Algeria,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,3609.4,0,0,77900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038947468,0,0,0,0.038947468,0,0,0
1960,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,American Samoa,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0.3,0,0,5000,0,300,2306,0,0,15000,0,0,0,0,0,0,0,0,0,0,3.901153287,0,0,0,0.954198473,0,2.946954813,0
1980,Angola,248000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Angola,10500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Angola,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3281.5,81615.9,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01095334,0,0,0,0.01095334,0,0,0
2010,Angola,325390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9441.5,34613.4,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000163768,0,0,0,0.000163768,0,0,0
1910,Anguilla,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1920,Anguilla,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1930,Anguilla,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1940,Anguilla,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Anguilla,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,125,0,0,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,670,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,Antigua and Barbuda,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Antigua and Barbuda,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,803,0,0,8000,0,0,0,0,0,0,0,0,0,0,1.82317571,0,0,0,0,0,1.82317571,0
1990,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697.6,1168.4,0,5000,45000,0,0,0,0,0,0,0,0,0,0,7.436792165,0,0,0,0,0,7.436792165,0
2000,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,20000,680,26260,0,0,0,0,0,0,0,0,0,0,1.812712269,0,0,0,0,0,1.812712269,0
1920,Argentina,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1930,Argentina,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1940,Argentina,0,0,,,,0,15500,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Argentina,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,33200,0,0,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011715119,0,0,0,0.011715119,0,0,0
1970,Argentina,0,0,0,0,0,4000,4010,0,0,8000,0,0,0,0,0,0,0,2410,0,0,2500,0,0,10040,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022004567,0,0.01408922,0,0.007915347,0,0,0
1980,Argentina,0,0,0,0,0,0,4523.8,0,0,0,0,0,0,0,0,0,36600,1219200,0,0,382000,0,0,200,0,0,1000,0,1201.4,0,0,0,75,15275.2,0,0,10000,0.394881732,0,0,0,0.384981277,0,0.000900041,0
1990,Argentina,0,0,0,0,0,0,0,0,0,0,6200,120,6320,0,0,0,8807.4,46507.4,0,0,270200,0,400,1800,0,0,5000,0,0,0,0,0,0,0,0,0,0,0.107325145,0,0,0,0.105213141,0,0.002112004,0
2000,Argentina,0,0,0,0,12000,20,72.7,0,0,0,0,0,0,0,0,0,3280,72907.5,0,0,211821,0,263,925.6,0,0,1500,0,2000,0,0,1500,0,0,0,0,0,0.130862445,0.009405347,0,0,0.120448365,0.000450483,0.00055825,0
2010,Argentina,3500,0,0,0,340000,0,0,0,0,0,300,0,300,0,0,10400,0,74465.3,0,21300,236400,0,200,1524.2,0,0,3120,0,301.6,0,0,0,0,0,0,0,0,0.110890983,0.065684363,0,0,0.042699743,0,0.000545215,0.001961661
1930,Armenia,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1940,Armenia,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Armenia,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Armenia,0,0,0,0,0,0,1500,0,0,3333.3,0,0,0,0,0,0,14.4,714.4,0,0,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252742183,0,0.203312922,0,0.049429261,0,0,0
2000,Armenia,29700,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523131934,0.523131934,0,0,0,0,0,0
2010,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8560,0,0,6182.2,0,75,0,0,0,0,0,0,0,0,0.055412244,0,0,0,0,0,0.055412244,0
1900,Asia,0,0,,,,3118.8,11935.3,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1910,Asia,0,0,,,,7332.9,7584.1,,,,0,0,19.9,,,,0,363500,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1920,Asia,2000000,0,,,,21058.7,44898.2,,,,0,0,0,,,,200,200,,,,0,6500,110501,,,,0,0,,,,0,0,,,,,,,,,,,
1930,Asia,0,0,,,,34617.3,39326.1,,,,0,0,0,,,,360000,1363000,,,,0,15250,15250,,,,0,0,,,,0,0,,,,,,,,,,,
1940,Asia,0,0,,,,55385.7,59765.8,,,,0,0,0,,,,0,0,,,,0,1200,253187.1,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Asia,0,0,,,,16634.4,24153.2,,,,2.9,0,2.9,,,,7700,1259353.4,,,,0,37500,589472.9,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Asia,10484300,0,0,0,12931.8,20062,97392.4,0,500,119140,46970,1400,48654.5,0,0,1520,128770.1,3797075.1,0,0,63581.1,0,562982.7,2923572.4,0,0,51823.1,0,10.7,0,0,0,0,0,0,0,0,0.090048503,0.004545394,0.047067006,0,0.019138535,0,0.018803694,0.000493874
1970,Asia,22767288.5,0,0,0,38120,68680.5,267746.7,0,200,701075.5,6451,1000,7551,0,0,2267.9,1072228,20137834.3,0,0,436764.8,0,782014.3,4487750.6,0,0,404532.7,0,8143.8,0,0,10000,0,3000,0,0,1100,0.143789201,0.003800041,0.054407117,0,0.047649861,0.000796646,0.036930297,0.000152036
1980,Asia,48343426,0,0,0,94288.7,53654.5,2426041.3,0,0,241367.7,53981.8,860,54841.8,0,0,33519,459061.4,43318441,0,40,2041806.4,0.002139726,899042.2,13183317,0,17020,1015762,250825,261547.4,0,0,4034.1,2900,11390.4,0,0,11200,0.100080527,0.00198181,0.008516206,0.000501391,0.057662199,0.000149099,0.02964484,0.001344754
1990,Asia,19647828.2,0,0,0,1881670,414497.5,2193847.8,3500000,625890,14922491.3,123547.4,6530,130103.2,0,0,23048.8,4432873.1,140935569.1,300,47450,14347747.4,0.018497046,1970609.5,19693951.2,0,1155480,5746119.6,125934.3,163797.5,0,0,148079,5700,310517.9,0,0,1149650,0.498361463,0.024208615,0.179704627,0.001599179,0.190576088,0.002026929,0.08569392,0.000414722
2000,Asia,62535500,0,0,0,1145976,1065689,7892138,520000,330204.1,15774591.9,39102.4,0,39114.4,0,0,479.4,1038470.6,89492215.4,0,381800,7720428.1,0,282883.2,36299642.4,0,1512780,9062154,17263.5,134503.8,0,0,41870.7,228.5,673.7,0,0,1400,0.2817198,0.009595127,0.11191155,0.0132873,0.068964802,0.000359639,0.077585164,0.00000543
2010,Asia,49961485,0,0,205400,2605859.9,64872.8,2438799.8,160530,4325600,26672187.1,71068.9,600,73134.9,0,0,43956.4,531946.4,63490663.5,0,1856300,26406215.2,0,233271.1,21519558,0,3491600,17003219.4,1507.5,290812.6,0,3390,177337.8,0,49286.1,0,0,179000,0.286126782,0.01010107,0.109970241,0.00076955,0.103453443,0.000736034,0.060235279,0.000151457
1930,Australia,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,390,390,,,,,,,,,,,
1940,Australia,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,210,210,,,,,,,,,,,
1950,Australia,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Australia,0,0,0,0,60000,40,429,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,490,0,0,6950,0.221020897,0.197384128,0.000795947,0,0,0,0,0
1970,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2200,0,0,19005.2,0,0,4574,0,0,262481.5,0,0,0,0,0,0,0,0,0,2885,0.310255463,0,0,0,0.025223958,0,0.282481111,0
1980,Australia,8000,0,0,0,600000,0,211.5,0,39600,100000,0,0,0,0,0,0,0,0,0,0,34054.8,0,100,101.2,0,16270,60314.2,0,0,0,0,0,1100,1114,0,0,45914.4,0.449114609,0.339670067,0.033414419,0,0.018185333,0,0.031675173,0
1990,Australia,700000,0,0,0,197300,2,502.5,0,0,0,0,0,0,0,0,0,600,5533.1,0,8580,99860,0,248.5,393828.4,0,158020,402639.3,0,10.1,0,0,0,100,4816.1,0,0,15670,0.201841682,0.060710034,0,0,0.026982127,0,0.109340053,0
2000,Australia,0,0,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,3539.1,0,229500,419250,0,712.9,4285.1,0,83000,214395.4,0,0,0,0,0,38.1,1780.9,0,108900,188000,0.158105745,0.050677944,0,0,0.052120107,0,0.029302314,0
2010,Australia,0,0,0,0,120000,0,0,0,0,0,0,0,0,0,0,0,0,21299.7,0,346000,1043340,0,604.8,12637.7,0,836700,1389100,0,0,0,0,0,829.2,1262.8,0,47400,302600,0.219852291,0.008374742,0,0,0.086012484,0,0.103926583,0
1950,Austria,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,38,,,,0,0,,,,,,,,,,,
1960,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29420,0,0,0,0,22590,28100,0,1000,0,0,4157,0,0,0,0,0,0.033329009,0,0,0,0.014634736,0.001914028,0.016780245,0
2000,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6141.6,0,53000,330000,0,0,30,0,26000,142500,0,0,0,0,0,0,0,0,0,0,0.185983587,0,0,0.010699438,0.139628023,0,0.035656126,0
2010,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,23500,100000,0,0,33,0,1200,120,0,0,0,0,0,0,0,0,0,0,0.023280915,0,0,0,0.023252083,0,0.0000288,0
1900,Azerbaijan,0,0,,,,0,1754,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1910,Azerbaijan,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1920,Azerbaijan,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1930,Azerbaijan,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1940,Azerbaijan,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Azerbaijan,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1960,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Azerbaijan,0,0,0,0,0,840,70917.8,0,0,500,0,0,0,0,0,0,15600,173380,0,0,4120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141024643,0,0.010913618,0,0.130111024,0,0,0
2000,Azerbaijan,0,0,0,0,10000,0,329.4,0,0,1000,0,0,0,0,0,0,150,3650,0,0,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284201028,0.189652614,0.018965261,0,0.075583153,0,0,0
2010,Azerbaijan,0,0,0,0,0,694.9,2249.9,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,Bahamas,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1930,Bahamas,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1940,Bahamas,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
1950,Bahamas,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,0,,,,0,0,,,,0,0,,,,,,,,,,,
