ID,Year,Date,state_name,magnitude,fatality_count,property_loss,yearly_tornado_count,start_lon,start_lat,end_long,end_lat,length,width,tornado_path_geom
1568,2012,2012-02-29,Missouri,2,0,0.17,368234,-89.9047,37.4689,-89.766,37.481,7.66,360,"LINESTRING(-89.9047 37.4689, -89.766 37.481)"
1569,2010,2010-04-30,Missouri,1,0,0.875,183,-92.2898,36.6379,-92.166,36.7634,11.05,3960,"LINESTRING(-92.2898 36.6379, -92.166 36.7634)"
1570,2014,2014-02-20,Missouri,1,0,0.075,505086,-89.8812,36.1895,-89.8774,36.1912,0.24,210,"LINESTRING(-89.8812 36.1895, -89.8774 36.1912)"
1571,2010,2010-11-24,Missouri,1,0,0.075,1211,-93.3615,37.4469,-93.3474,37.452,0.85,600,"LINESTRING(-93.3615 37.4469, -93.3474 37.452)"
1572,2013,2013-05-31,Missouri,3,0,60.0,462224,-90.7498,38.6867,-90.1762,38.7736,31.71,5280,"LINESTRING(-90.7498 38.6867, -90.6064 38.708425, -90.463 38.73015, -90.3196 38.751875, -90.1762 38.7736)"
1573,2015,2015-12-23,Missouri,1,0,0.09,609789,-90.9328,36.9198,-90.856,36.9812,6.0,300,"LINESTRING(-90.9328 36.9198, -90.856 36.9812)"
1574,2011,2011-05-22,Missouri,0,0,0.003,309336,-93.52,39.21,-93.5176,39.2101,0.13,150,"LINESTRING(-93.52 39.21, -93.5176 39.2101)"
1575,2010,2010-12-31,Missouri,3,0,90.0,1260,-92.1901,37.6857,-92.0872,37.7642,7.5,1500,"LINESTRING(-92.1901 37.6857, -92.0872 37.7642)"
1576,2017,2017-04-30,Missouri,1,0,250000.0,615043,-90.0974,36.0838,-90.0826,36.095,1.2,300,"LINESTRING(-90.0974 36.0838, -90.0826 36.095)"
1577,2017,2017-03-06,Missouri,1,0,5000.0,614757,-93.5021,37.9676,-93.4888,37.964,0.75,300,"LINESTRING(-93.5021 37.9676, -93.4888 37.964)"
1578,2012,2012-02-29,Missouri,1,0,0.75,364183,-92.8139,37.5933,-92.6422,37.673,11.0,450,"LINESTRING(-92.8139 37.5933, -92.6422 37.673)"
1579,2011,2011-04-19,Missouri,0,0,0.015,289147,-90.0228,37.4947,-90.0149,37.4983,0.5,300,"LINESTRING(-90.0228 37.4947, -90.0149 37.4983)"
1580,2010,2010-12-31,Missouri,1,0,0.3,1256,-93.0351,37.0283,-92.9395,37.1223,8.37,750,"LINESTRING(-93.0351 37.0283, -92.9395 37.1223)"
1581,2017,2017-03-09,Missouri,1,0,400000.0,614788,-90.0897,36.6614,-89.8883,36.6684,11.17,750,"LINESTRING(-90.0897 36.6614, -89.8883 36.6684)"
1582,2011,2011-04-23,Missouri,1,0,0.175,288923,-90.5258,36.5503,-90.4873,36.5802,2.97,300,"LINESTRING(-90.5258 36.5503, -90.4873 36.5802)"
1583,2017,2017-05-19,Missouri,0,0,50000.0,615250,-93.5985,36.5972,-93.5965,36.5978,0.12,300,"LINESTRING(-93.5985 36.5972, -93.5965 36.5978)"
1584,2017,2017-05-18,Missouri,1,0,100000.0,615249,-94.2079,36.5036,-94.1993,36.5139,1.0,300,"LINESTRING(-94.2079 36.5036, -94.1993 36.5139)"
1585,2011,2011-05-25,Missouri,1,0,0.07,307058,-90.7,37.0555,-90.5006,37.2577,17.77,450,"LINESTRING(-90.7 37.0555, -90.6003 37.1566, -90.5006 37.2577)"
1586,2013,2013-10-31,Missouri,1,0,0.175,477070,-89.6258,36.8079,-89.5791,36.8296,2.99,150,"LINESTRING(-89.6258 36.8079, -89.5791 36.8296)"
1587,2012,2012-10-13,Missouri,0,0,0.025,408409,-93.4429,37.2772,-93.4374,37.2833,0.52,300,"LINESTRING(-93.4429 37.2772, -93.4374 37.2833)"
1588,2017,2017-03-09,Missouri,0,0,25000.0,614782,-93.8717,36.766,-93.87,36.7661,0.1,300,"LINESTRING(-93.8717 36.766, -93.87 36.7661)"
1589,2017,2017-05-19,Missouri,0,0,10000.0,615251,-93.265,36.6429,-93.2622,36.6457,0.25,225,"LINESTRING(-93.265 36.6429, -93.2622 36.6457)"
1590,2014,2014-05-08,Missouri,1,0,0.015,506433,-92.7143,36.9964,-92.6935,37.0334,2.5,300,"LINESTRING(-92.7143 36.9964, -92.6935 37.0334)"
1591,2017,2017-03-09,Missouri,0,0,20000.0,614789,-89.7598,36.6715,-89.7467,36.6704,0.73,300,"LINESTRING(-89.7598 36.6715, -89.7467 36.6704)"
1592,2017,2017-03-06,Missouri,1,0,100000.0,614762,-92.994,37.9624,-92.9593,37.9619,2.0,1200,"LINESTRING(-92.994 37.9624, -92.9593 37.9619)"
1593,2017,2017-05-19,Missouri,0,0,100000.0,615254,-93.0654,36.9149,-93.0315,36.9555,3.0,1500,"LINESTRING(-93.0654 36.9149, -93.0315 36.9555)"
1594,2011,2011-04-22,Missouri,4,0,30.0,317910,-90.4863,38.7364,-90.0927,38.7326,21.3,2640,"LINESTRING(-90.4863 38.7364, -90.2895 38.7345, -90.0927 38.7326)"
1595,2016,2016-04-27,Missouri,1,0,100000.0,613816,-92.2399,40.3034,-92.2395,40.3049,0.23,120,"LINESTRING(-92.2399 40.3034, -92.2395 40.3049)"
1596,2017,2017-03-06,Missouri,0,0,100000.0,614763,-92.7159,38.2468,-92.7099,38.2461,0.33,150,"LINESTRING(-92.7159 38.2468, -92.7099 38.2461)"
1597,2017,2017-03-09,Missouri,1,0,75000.0,614785,-90.2082,36.8531,-90.1691,36.8424,2.28,225,"LINESTRING(-90.2082 36.8531, -90.1691 36.8424)"
1598,2011,2011-05-21,Missouri,0,0,0.007,309939,-94.9178,40.0019,-94.9092,40.0183,1.22,180,"LINESTRING(-94.9178 40.0019, -94.9092 40.0183)"
1599,2013,2013-10-31,Missouri,1,0,0.075,477093,-90.0338,36.7312,-89.7797,36.7637,14.25,300,"LINESTRING(-90.0338 36.7312, -89.7797 36.7637)"
1600,2017,2017-05-27,Missouri,1,0,100000.0,615353,-92.3541,37.5862,-92.2672,37.607,4.97,1200,"LINESTRING(-92.3541 37.5862, -92.2672 37.607)"
1601,2014,2014-04-03,Missouri,0,0,0.017,504231,-90.5799,36.7518,-90.5765,36.7524,0.19,150,"LINESTRING(-90.5799 36.7518, -90.5765 36.7524)"
1602,2011,2011-04-25,Missouri,1,0,0.025,288691,-90.5339,37.1278,-90.2997,37.1524,11.78,600,"LINESTRING(-90.5339 37.1278, -90.2997 37.1524)"
1603,2014,2014-10-13,Missouri,1,0,0.053,541972,-90.1113,36.9498,-90.0412,37.0696,9.35,225,"LINESTRING(-90.1113 36.9498, -90.0412 37.0696)"
1604,2016,2016-04-27,Missouri,0,0,100000.0,613818,-92.0175,40.5058,-92.0136,40.5071,0.23,90,"LINESTRING(-92.0175 40.5058, -92.0136 40.5071)"
1605,2017,2017-05-19,Missouri,0,0,5000.0,615272,-93.5928,37.4219,-93.59,37.43,0.58,300,"LINESTRING(-93.5928 37.4219, -93.59 37.43)"
1606,2017,2017-05-19,Missouri,1,0,50000.0,615260,-94.56,36.76,-94.532,36.7789,2.03,30,"LINESTRING(-94.56 36.76, -94.532 36.7789)"
1607,2011,2011-05-22,Missouri,5,158,2800.1,296616,-94.5932,37.0524,-94.2213,36.9838,21.62,4800,"LINESTRING(-94.5932 37.0524, -94.40725 37.0181, -94.2213 36.9838)"
1608,2010,2010-07-19,Missouri,0,0,0.0005,906,-93.485,40.4,-93.485,40.4,0.1,75,
1609,2010,2010-07-19,Missouri,0,0,0.0004,908,-93.1602,40.1693,-93.1602,40.1693,0.1,75,
1610,2017,2017-12-04,Missouri,1,0,50000.0,615889,-92.4879,38.0386,-92.482,38.0428,0.4,300,"LINESTRING(-92.4879 38.0386, -92.482 38.0428)"
1611,2013,2013-01-29,Missouri,1,0,0.225,422623,-93.6112,37.9759,-93.4664,38.0246,8.58,1200,"LINESTRING(-93.6112 37.9759, -93.4664 38.0246)"
1612,2017,2017-04-04,Missouri,2,0,1100000.0,614932,-94.4324,36.7197,-94.2654,36.9123,16.5,900,"LINESTRING(-94.4324 36.7197, -94.3489 36.816, -94.2654 36.9123)"
1613,2012,2012-02-29,Missouri,2,1,0.575,363341,-93.9178,36.6994,-93.8869,36.7053,1.7,1200,"LINESTRING(-93.9178 36.6994, -93.8869 36.7053)"
1614,2016,2016-04-27,Missouri,0,0,100000.0,613793,-93.3621,37.1345,-93.358,37.1348,0.23,120,"LINESTRING(-93.3621 37.1345, -93.358 37.1348)"
1615,2011,2011-05-22,Missouri,1,0,0.23,309349,-93.06,39.22,-92.9941,39.2211,3.53,225,"LINESTRING(-93.06 39.22, -92.9941 39.2211)"
1616,2017,2017-05-10,Missouri,0,0,100000.0,615147,-94.4182,36.9052,-94.4072,36.9119,1.0,300,"LINESTRING(-94.4182 36.9052, -94.4072 36.9119)"
1617,2013,2013-01-29,Missouri,2,0,0.06,424852,-90.26,36.76,-90.2156,36.7939,3.39,300,"LINESTRING(-90.26 36.76, -90.2156 36.7939)"
1618,2012,2012-02-29,Missouri,2,0,20.5,364194,-93.46,36.6223,-93.0241,36.6584,24.29,1200,"LINESTRING(-93.46 36.6223, -93.24205 36.64035, -93.0241 36.6584)"
1619,2013,2013-10-31,Missouri,1,0,0.13,477098,-89.7086,37.2807,-89.6379,37.2756,3.9,450,"LINESTRING(-89.7086 37.2807, -89.6379 37.2756)"
1620,2011,2011-04-19,Missouri,1,0,0.025,288919,-90.35,37.2041,-90.28,37.2537,5.16,1500,"LINESTRING(-90.35 37.2041, -90.28 37.2537)"
1621,2013,2013-10-31,Missouri,2,0,0.8,477104,-89.85,36.7332,-89.8194,36.7466,1.93,300,"LINESTRING(-89.85 36.7332, -89.8194 36.7466)"
1622,2017,2017-05-27,Missouri,1,0,25000.0,615350,-92.7854,38.1918,-92.7843,38.1919,0.06,900,"LINESTRING(-92.7854 38.1918, -92.7843 38.1919)"
1623,2017,2017-05-19,Missouri,1,0,10000.0,615255,-92.9169,37.4683,-92.8904,37.4843,2.0,900,"LINESTRING(-92.9169 37.4683, -92.8904 37.4843)"
1624,2011,2011-05-11,Missouri,0,0,0.008,313231,-94.0372,38.1883,-93.9953,38.2092,2.69,150,"LINESTRING(-94.0372 38.1883, -93.9953 38.2092)"
1625,2015,2015-05-24,Missouri,1,0,0.075,567869,-92.7068,36.5844,-92.685,36.6495,4.66,600,"LINESTRING(-92.7068 36.5844, -92.685 36.6495)"
